nohup: ignoring input
group_aggregation_bridge was used
gt deep supervision was used
Training on 1 GPUs.
Epoch [103/150], Train Loss: 1.2583,Train Dice Score: 0.7876, Val Loss: 1.6925,Val Dice Score: 0.7210
Epoch [104/150], Train Loss: 1.2702,Train Dice Score: 0.7889, Val Loss: 1.6142,Val Dice Score: 0.7283
Epoch [105/150], Train Loss: 1.2579,Train Dice Score: 0.7901, Val Loss: 1.7999,Val Dice Score: 0.6960
Epoch [106/150], Train Loss: 1.2618,Train Dice Score: 0.7898, Val Loss: 1.7065,Val Dice Score: 0.7096
Epoch [107/150], Train Loss: 1.2525,Train Dice Score: 0.7921, Val Loss: 1.6145,Val Dice Score: 0.7325
Epoch [108/150], Train Loss: 1.2090,Train Dice Score: 0.7986, Val Loss: 1.8803,Val Dice Score: 0.6882
Epoch [109/150], Train Loss: 1.2381,Train Dice Score: 0.7916, Val Loss: 1.5306,Val Dice Score: 0.7455
Epoch [110/150], Train Loss: 1.1843,Train Dice Score: 0.8028, Val Loss: 1.6403,Val Dice Score: 0.7347
Epoch [111/150], Train Loss: 1.1944,Train Dice Score: 0.8016, Val Loss: 1.4201,Val Dice Score: 0.7668
Epoch [112/150], Train Loss: 1.2214,Train Dice Score: 0.7962, Val Loss: 1.7017,Val Dice Score: 0.7283
Epoch [113/150], Train Loss: 1.2090,Train Dice Score: 0.7968, Val Loss: 2.0810,Val Dice Score: 0.6859
Epoch [114/150], Train Loss: 1.1408,Train Dice Score: 0.8094, Val Loss: 1.7967,Val Dice Score: 0.7090
Epoch [115/150], Train Loss: 1.1578,Train Dice Score: 0.8065, Val Loss: 1.4974,Val Dice Score: 0.7559
Epoch [116/150], Train Loss: 1.1291,Train Dice Score: 0.8123, Val Loss: 1.6686,Val Dice Score: 0.7280
Epoch [117/150], Train Loss: 1.1380,Train Dice Score: 0.8113, Val Loss: 1.3521,Val Dice Score: 0.7795
Epoch [118/150], Train Loss: 1.0821,Train Dice Score: 0.8187, Val Loss: 1.3384,Val Dice Score: 0.7817
Epoch [119/150], Train Loss: 1.0750,Train Dice Score: 0.8189, Val Loss: 1.5532,Val Dice Score: 0.7495
Epoch [120/150], Train Loss: 1.0689,Train Dice Score: 0.8203, Val Loss: 1.4283,Val Dice Score: 0.7697
Epoch [121/150], Train Loss: 1.0723,Train Dice Score: 0.8183, Val Loss: 1.4085,Val Dice Score: 0.7688
Epoch [122/150], Train Loss: 1.0666,Train Dice Score: 0.8215, Val Loss: 1.6176,Val Dice Score: 0.7395
Epoch [123/150], Train Loss: 1.0059,Train Dice Score: 0.8296, Val Loss: 1.6895,Val Dice Score: 0.7383
Epoch [124/150], Train Loss: 1.0372,Train Dice Score: 0.8263, Val Loss: 1.3803,Val Dice Score: 0.7745
Epoch [125/150], Train Loss: 0.9654,Train Dice Score: 0.8380, Val Loss: 1.3697,Val Dice Score: 0.7766
Epoch [126/150], Train Loss: 1.0227,Train Dice Score: 0.8279, Val Loss: 1.2525,Val Dice Score: 0.7959
